sup;cap;risk;PFAD;AF;CO;total biom;prod biod;demand;quality;prod cost;trans cost;process cost;hydro cost;total cost
250;2;-;0.0;1439.7696368581026;242.5143891870919;1682.2840260451944;1500.0;1500;0.9;194598.6514498106;1.2279157149170823e7;98511.89767084074;159574.46808510637;1.2731842166376581e7
250;3;-;0.0;1006.3569154429003;680.5378842343707;1686.894799677271;1500.0;1500;0.9;182011.23943424158;1.269731435167265e7;94408.30913829253;159574.46808510637;1.3133308368330285e7
250;5;-;0.0;868.2139755274605;820.1504298935918;1688.3644054210522;1500.0;1500;0.9;177999.21575371857;1.3339871582355062e7;93100.36002632722;159574.46808510637;1.3770545626220215e7
250;10;-;0.0;839.8656215005598;848.8003621548216;1688.6659836553813;1500.0;1500;0.9;177175.90717400107;1.3658508070449414e7;92831.95539777465;159574.46808510637;1.40880904011063e7
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
sup;cap;risk;PFAD;AF;CO;total biom;prod biod;demand;quality;prod cost;trans cost;process cost;hydro cost;total cost
300;2;-;0.0;1303.8;379.93051154368504;1683.730511543685;1500.0;1500;0.8803213277330599;190649.74603893165;7.731964391164331e6;97224.52557718425;159574.46808510637;8.179413130865554e6
300;3;-;0.0;1303.8;379.9305115436853;1683.7305115436852;1500.0;1500;0.8852242452656884;190649.74603893168;7.640951447510601e6;97224.52557718426;159574.46808510637;8.088400187211823e6
300;5;-;0.0;1303.8;379.930511543685;1683.730511543685;1500.0;1500;0.8903606350617231;190649.74603893165;7.772359259361958e6;97224.52557718426;159574.46808510637;8.21980799906318e6
300;10;-;0.0;1303.8;379.93051154368516;1683.7305115436852;1500.0;1500;0.8737333704906352;190649.74603893165;7.51691303823314e6;97224.52557718426;159574.46808510637;7.964361777934363e6
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
sup;cap;risk;PFAD;AF;CO;total biom;prod biod;demand;quality;prod cost;trans cost;process cost;hydro cost;total cost
400;2;-;0.0;1190.8318881495507;494.1004118180754;1684.932299967626;1500.0;1500;0.9;187368.86364157285;1.177560357350474e7;96154.9338798768;159574.46808510637;1.2218701839111296e7
400;3;-;0.0;1109.5075064743764;576.2899464897937;1685.7974529641701;1500.0;1500;0.9;185006.99596100664;1.1744259541675884e7;95384.94771295227;159574.46808510637;1.218422595343495e7
400;5;-;0.0;839.8656215005614;848.8003621548198;1688.6659836553813;1500.0;1500;0.9;177175.90717400116;1.1989960348842194e7;92831.95539777465;159574.46808510637;1.2419542679499077e7
400;10;-;0.0;948.7943950906661;738.7127718243947;1687.5071669150607;1500.0;1500;0.9;180339.47687507543;1.277298089876901e7;93863.3022966597;159574.46808510637;1.3206758146025851e7
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
sup;cap;risk;PFAD;AF;CO;total biom;prod biod;demand;quality;prod cost;trans cost;process cost;hydro cost;total cost
500;2;-;0.0;1340.8030366488779;342.5338255687553;1683.336862217633;1500.0;1500;0.9;191724.40869905328;1.094787503218238e7;97574.87347737042;159574.46808510637;1.1396748782443913e7
500;3;-;0.0;1291.288672613608;392.5749381575918;1683.8636107711998;1500.0;1500;0.9;190286.3851478162;1.0164855453468297e7;97106.06726469606;159574.46808510637;1.0611822373965917e7
500;5;-;0.0;1349.9004046239804;333.33967708327924;1683.2400817072596;1500.0;1500;0.9;191988.61949237276;1.0256904732056448e7;97661.00813160278;159574.46808510637;1.070612882776553e7
500;10;-;0.0;1314.8133508865753;368.7999973498056;1683.613348236381;1500.0;1500;0.9;190969.6018678715;1.0431732032143505e7;97328.80092068482;159574.46808510637;1.0879604903017169e7
;;;;;;;;;;;;;;
sup;cap;risk;PFAD;AF;CO;total biom;prod biod;demand;quality;prod cost;trans cost;process cost;hydro cost;total cost
750;2;-;0.0;1393.3869376291725;289.3905213865426;1682.777459015715;1500.0;1500;0.9;193251.57944028956;7.24722182803227e6;98072.74232707747;159574.46808510637;7.698120617884743e6
750;3;-;0.0;1443.2150764606415;239.03229597175994;1682.2473724324013;1500.0;1500;0.9;194698.71581273538;7.133946269209886e6;98544.51938622649;159574.46808510637;7.586763972493954e6
750;5;-;0.0;1492.2714612235054;189.4540347752486;1681.725495998754;1500.0;1500;0.9;196123.438476593;7.245071515519359e6;99008.98941217276;159574.46808510637;7.699778411493231e6
750;10;-;0.0;1468.1579249344345;213.8240980461181;1681.9820229805525;1500.0;1500;0.9;195423.11981628276;7.188571473460359e6;98780.68039837196;159574.46808510637;7.642349741760119e6
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
sup;cap;risk;PFAD;AF;CO;total biom;prod biod;demand;quality;prod cost;trans cost;process cost;hydro cost;total cost
1000;2;-;0.0;1513.2936888113852;168.20816646834885;1681.5018552797342;1500.0;1500;0.9;196733.97763951763;3.504571112290938e6;99208.02965210055;159574.46808510637;3.9600875876676627e6
1000;3;-;0.0;1500.5737207624297;181.0634533263358;1681.6371740887655;1500.0;1500;0.9;196364.5572908618;3.223817111132838e6;99087.59591206258;159574.46808510637;3.678843732420869e6
1000;5;-;0.0;1510.987394832537;170.5389954895254;1681.5263903220623;1500.0;1500;0.9;196666.99697396174;3.3322155626642583e6;99186.19346442848;159574.46808510637;3.7876432211877545e6
1000;10;-;0.0;1509.8669614126209;171.67134841390865;1681.5383098265295;1500.0;1500;0.9;196634.4567267663;3.5408098174910154e6;99175.58510545269;159574.46808510637;3.9961943274083408e6